old_entrez_gene_id	new_entrez_gene_id	date
24155	311860	20050510
24156	304883	20050510
24160	50655	20050510
24164	300981	20050510
24178	29619	20060714
24181	81638	20060223
24187	25375	20050614
24193	688395	20080916
24194	500301	20080916
24195	298931	20080916
24198	81640	20050510
24199	81640	20050510
24200	296217	20060404
24201	309358	20060404
24204	29619	20050712
24226	294257	20050510
24227	497672	20060430
24229	448851	20050614
24238	313421	20050510
24243	50663	20050510
24262	474368	20050510
24270	296959	20090313
24275	24279	20070510
24276	301468	20050510
24280	689947	20050505
24281	307403	20050510
24293	500892	20051020
24301	361523	20050720
24304	171522	20050509
24322	94204	20050510
24325	366270	20050510
24327	50672	20050510
24349	116571	20050510
24355	290401	20050510
24357	304063	20050510
24359	304929	20050510
24363	83928	20071024
24365	361969	20050510
24371	314322	20050510
24372	687266	20090314
24381	287835	20071024
24389	116568	20050510
24394	363494	20050510
24395	316033	20050510
24396	294320	20050510
24402	311446	20050510
24403	292804	20050510
24428	297951	20060104
24431	364582	20060104
24432	367914	20060104
24436	201097	20080910
24445	300757	20050510
24452	103690123	20150531
24453	100912525	20150903
24454	500126	20050629
24456	497985	20090313
24462	288152	20050510
24466	293621	20050510
24486	314487	20050510
24487	299351	20050608
24490	500183	20060219
24492	680329	20230426
24496	287287	20050510
24509	311144	20050510
24510	315346	20050510
24512	311422	20050510
24515	56227	20050510
24527	50687	20071024
24529	81641	20050510
24531	313050	20050510
24542	353227	20050510
24544	326380	20090313
24545	361378	20050510
24549	307449	20050510
24550	81829	20050510
24562	300741	20050510
24563	303413	20050510
24573	687030	20060915
24576	293405	20050510
24578	311807	20050510
24579	298506	20050510
24580	298894	20050510
24593	310738	20050510
24595	24330	20050510
24597	326405	20050505
24601	290029	20050510
24619	171162	20090314
24625	362282	20050504
24632	29237	20061208
24635	292808	20050510
24637	360918	20050510
24643	100360180	20050510
24658	100361884	20120510
24662	304573	20050510
24663	363633	20050510
24665	294504	20050510
24696	56813	20050510
24698	171357	20050510
24702	252916	20070227
24707	685072	20050509
24709	81758	20050510
24713	65037	20050617
24728	294282	20050510
24729	365320	20050510
24731	362720	20050510
24736	100188935	20150821
24749	360323	20050510
24757	293152	20080624
24793	299282	20050510
24801	25013	20090313
24809	685229	20050510
24823	474366	20050505
24824	474367	20050506
24830	81812	20050510
24836	287543	20050507
24850	116596	20050508
24858	308800	20050509
24859	298182	20050510
24863	100360582	20050510
24866	114768	20080507
24868	289526	20050510
24869	498341	20090314
24876	303782	20050510
24878	114102	20050510
24880	287469	20050510
24893	311505	20050510
24901	301382	20050510
24909	53950	20050510
24910	100361884	20090314
24921	301348	20050510
24927	25357	20050510
24939	497078	20050510
24940	299314	20050510
24945	317576	20050510
24951	362515	20071020
24955	310378	20050510
24956	497840	20060430
24958	300901	20050510
24960	114612	20050510
24961	294279	20050510
24964	108348108	20050510
24965	294281	20050510
24969	83789	20050510
24970	414982	20060211
24971	414984	20060916
24975	309621	20050510
24976	309622	20050510
24979	294269	20050510
24980	294270	20050510
24982	294274	20050510
24983	294273	20050510
24985	365542	20050510
24987	688544	20050510
24989	309584	20091202
